PASSENGERS,FREIGHT,MAIL,DISTANCE,UNIQUE_CARRIER,UNIQUE_CARRIER_NAME,ORIGIN_AIRPORT_ID,ORIGIN,ORIGIN_COUNTRY,ORIGIN_COUNTRY_NAME,DEST_AIRPORT_ID,DEST,DEST_COUNTRY,DEST_COUNTRY_NAME,YEAR,MONTH
7,0,0,9478,UA,United Air Lines Inc.,12953,LGA,US,United States,14824,SIN,SG,Singapore,2003,3
8,0,0,9478,UA,United Air Lines Inc.,14824,SIN,SG,Singapore,12953,LGA,US,United States,2003,3
9,0,0,9595,UA,United Air Lines Inc.,12264,IAD,US,United States,14824,SIN,SG,Singapore,2003,10
10,0,0,9478,UA,United Air Lines Inc.,14824,SIN,SG,Singapore,12953,LGA,US,United States,2003,2
10,0,0,9478,UA,United Air Lines Inc.,12953,LGA,US,United States,14824,SIN,SG,Singapore,2003,2
12,0,0,9595,UA,United Air Lines Inc.,14824,SIN,SG,Singapore,12264,IAD,US,United States,2003,10
13,0,0,9478,UA,United Air Lines Inc.,12953,LGA,US,United States,14824,SIN,SG,Singapore,2003,1
14,0,0,8758,UA,United Air Lines Inc.,14824,SIN,SG,Singapore,12892,LAX,US,United States,2003,9
31,0,0,8758,UA,United Air Lines Inc.,14824,SIN,SG,Singapore,12892,LAX,US,United States,2003,2
35,0,0,8758,UA,United Air Lines Inc.,12892,LAX,US,United States,14824,SIN,SG,Singapore,2003,2
37,0,0,9595,UA,United Air Lines Inc.,14824,SIN,SG,Singapore,12264,IAD,US,United States,2003,6
38,0,0,9320,UA,United Air Lines Inc.,13930,ORD,US,United States,14824,SIN,SG,Singapore,2003,8
44,0,0,9595,UA,United Air Lines Inc.,12264,IAD,US,United States,14824,SIN,SG,Singapore,2003,6
45,1336,2164,8440,UA,United Air Lines Inc.,14771,SFO,US,United States,14824,SIN,SG,Singapore,2003,4
50,0,0,9595,UA,United Air Lines Inc.,14824,SIN,SG,Singapore,12264,IAD,US,United States,2003,7
52,0,0,9365,UA,United Air Lines Inc.,14824,SIN,SG,Singapore,10721,BOS,US,United States,2003,9
54,0,0,9595,UA,United Air Lines Inc.,12264,IAD,US,United States,14824,SIN,SG,Singapore,2003,7
56,0,0,9595,UA,United Air Lines Inc.,12264,IAD,US,United States,14824,SIN,SG,Singapore,2003,8
58,0,0,9365,UA,United Air Lines Inc.,10721,BOS,US,United States,14824,SIN,SG,Singapore,2003,10
59,0,0,9595,UA,United Air Lines Inc.,12264,IAD,US,United States,14824,SIN,SG,Singapore,2003,11
61,0,0,9365,UA,United Air Lines Inc.,10721,BOS,US,United States,14824,SIN,SG,Singapore,2003,9
62,0,545,9487,UA,United Air Lines Inc.,14824,SIN,SG,Singapore,12478,JFK,US,United States,2003,10
64,0,0,8758,UA,United Air Lines Inc.,14824,SIN,SG,Singapore,12892,LAX,US,United States,2003,1
65,0,0,9595,UA,United Air Lines Inc.,12264,IAD,US,United States,14824,SIN,SG,Singapore,2003,12
68,0,0,8440,UA,United Air Lines Inc.,14824,SIN,SG,Singapore,14771,SFO,US,United States,2003,4
70,0,0,8758,UA,United Air Lines Inc.,12892,LAX,US,United States,14824,SIN,SG,Singapore,2003,1
71,0,0,9595,UA,United Air Lines Inc.,14824,SIN,SG,Singapore,12264,IAD,US,United States,2003,11
73,0,0,9595,UA,United Air Lines Inc.,14824,SIN,SG,Singapore,12264,IAD,US,United States,2003,12
80,594,745,8758,UA,United Air Lines Inc.,12892,LAX,US,United States,14824,SIN,SG,Singapore,2003,3
80,0,0,9595,UA,United Air Lines Inc.,14824,SIN,SG,Singapore,12264,IAD,US,United States,2003,8
86,0,0,9487,UA,United Air Lines Inc.,12478,JFK,US,United States,14824,SIN,SG,Singapore,2003,10
91,2,0,9320,SQ,Singapore Airlines Ltd.,13930,ORD,US,United States,14824,SIN,SG,Singapore,2003,4
97,8219,0,8822,SQ,Singapore Airlines Ltd.,14824,SIN,SG,Singapore,12889,LAS,US,United States,2003,4
108,0,0,8758,UA,United Air Lines Inc.,14824,SIN,SG,Singapore,12892,LAX,US,United States,2003,3
109,1643,0,9320,SQ,Singapore Airlines Ltd.,14824,SIN,SG,Singapore,13930,ORD,US,United States,2003,4
112,0,0,9365,UA,United Air Lines Inc.,14824,SIN,SG,Singapore,10721,BOS,US,United States,2003,10
123,0,0,8822,SQ,Singapore Airlines Ltd.,12889,LAS,US,United States,14824,SIN,SG,Singapore,2003,4
147,0,0,8440,UA,United Air Lines Inc.,14824,SIN,SG,Singapore,14771,SFO,US,United States,2003,10
312,0,3222,9487,UA,United Air Lines Inc.,14824,SIN,SG,Singapore,12478,JFK,US,United States,2003,11
318,0,115,9487,UA,United Air Lines Inc.,14824,SIN,SG,Singapore,12478,JFK,US,United States,2003,12
320,0,0,9487,UA,United Air Lines Inc.,12478,JFK,US,United States,14824,SIN,SG,Singapore,2003,11
376,15601,2063,8758,UA,United Air Lines Inc.,12892,LAX,US,United States,14824,SIN,SG,Singapore,2003,4
383,0,0,8440,UA,United Air Lines Inc.,14771,SFO,US,United States,14824,SIN,SG,Singapore,2003,10
448,0,0,9487,UA,United Air Lines Inc.,12478,JFK,US,United States,14824,SIN,SG,Singapore,2003,12
462,0,0,8822,SQ,Singapore Airlines Ltd.,12889,LAS,US,United States,14824,SIN,SG,Singapore,2003,3
488,32210,0,9320,SQ,Singapore Airlines Ltd.,13930,ORD,US,United States,14824,SIN,SG,Singapore,2003,3
496,1761,620,8758,UA,United Air Lines Inc.,12892,LAX,US,United States,14824,SIN,SG,Singapore,2003,8
497,0,0,9357,NW,Northwest Airlines Inc.,11433,DTW,US,United States,14824,SIN,SG,Singapore,2003,4
516,4703,80,8758,UA,United Air Lines Inc.,12892,LAX,US,United States,14824,SIN,SG,Singapore,2003,5
522,0,0,8758,UA,United Air Lines Inc.,14824,SIN,SG,Singapore,12892,LAX,US,United States,2003,4
524,0,0,9357,NW,Northwest Airlines Inc.,14824,SIN,SG,Singapore,11433,DTW,US,United States,2003,5
532,1228,0,9357,NW,Northwest Airlines Inc.,11433,DTW,US,United States,14824,SIN,SG,Singapore,2003,2
545,0,0,9357,NW,Northwest Airlines Inc.,14824,SIN,SG,Singapore,11433,DTW,US,United States,2003,4
549,0,0,9357,NW,Northwest Airlines Inc.,11433,DTW,US,United States,14824,SIN,SG,Singapore,2003,3
575,0,0,8822,SQ,Singapore Airlines Ltd.,12889,LAS,US,United States,14824,SIN,SG,Singapore,2003,2
615,52800,0,9484,SQ,Singapore Airlines Ltd.,11618,EWR,US,United States,14824,SIN,SG,Singapore,2003,4
617,0,0,8758,UA,United Air Lines Inc.,14824,SIN,SG,Singapore,12892,LAX,US,United States,2003,5
622,36487,0,8822,SQ,Singapore Airlines Ltd.,14824,SIN,SG,Singapore,12889,LAS,US,United States,2003,2
630,15431,0,8822,SQ,Singapore Airlines Ltd.,14824,SIN,SG,Singapore,12889,LAS,US,United States,2003,3
672,28197,0,9320,SQ,Singapore Airlines Ltd.,13930,ORD,US,United States,14824,SIN,SG,Singapore,2003,2
680,0,0,8758,UA,United Air Lines Inc.,14824,SIN,SG,Singapore,12892,LAX,US,United States,2003,8
694,11854,0,9487,SQ,Singapore Airlines Ltd.,12478,JFK,US,United States,14824,SIN,SG,Singapore,2003,5
700,0,0,9357,NW,Northwest Airlines Inc.,14824,SIN,SG,Singapore,11433,DTW,US,United States,2003,6
753,21157,0,9487,SQ,Singapore Airlines Ltd.,12478,JFK,US,United States,14824,SIN,SG,Singapore,2003,4
787,0,0,9357,NW,Northwest Airlines Inc.,14824,SIN,SG,Singapore,11433,DTW,US,United States,2003,10
797,0,0,9357,NW,Northwest Airlines Inc.,11433,DTW,US,United States,14824,SIN,SG,Singapore,2003,11
819,0,0,9357,NW,Northwest Airlines Inc.,11433,DTW,US,United States,14824,SIN,SG,Singapore,2003,12
820,122199,0,9487,SQ,Singapore Airlines Ltd.,14824,SIN,SG,Singapore,12478,JFK,US,United States,2003,5
846,19609,0,9320,SQ,Singapore Airlines Ltd.,14824,SIN,SG,Singapore,13930,ORD,US,United States,2003,3
855,3999,0,8758,UA,United Air Lines Inc.,12892,LAX,US,United States,14824,SIN,SG,Singapore,2003,7
863,25060,0,9320,SQ,Singapore Airlines Ltd.,14824,SIN,SG,Singapore,13930,ORD,US,United States,2003,2
869,0,0,8758,UA,United Air Lines Inc.,14824,SIN,SG,Singapore,12892,LAX,US,United States,2003,7
889,0,0,9357,NW,Northwest Airlines Inc.,14824,SIN,SG,Singapore,11433,DTW,US,United States,2003,12
895,0,0,9357,NW,Northwest Airlines Inc.,14824,SIN,SG,Singapore,11433,DTW,US,United States,2003,9
898,60,0,9357,NW,Northwest Airlines Inc.,11433,DTW,US,United States,14824,SIN,SG,Singapore,2003,10
907,0,0,9357,NW,Northwest Airlines Inc.,11433,DTW,US,United States,14824,SIN,SG,Singapore,2003,5
954,0,0,9357,NW,Northwest Airlines Inc.,14824,SIN,SG,Singapore,11433,DTW,US,United States,2003,11
968,0,0,9357,NW,Northwest Airlines Inc.,11433,DTW,US,United States,14824,SIN,SG,Singapore,2003,6
1008,0,0,8440,UA,United Air Lines Inc.,14824,SIN,SG,Singapore,14771,SFO,US,United States,2003,2
1027,5028,0,8758,UA,United Air Lines Inc.,12892,LAX,US,United States,14824,SIN,SG,Singapore,2003,6
1036,22072,7906,9320,UA,United Air Lines Inc.,13930,ORD,US,United States,14824,SIN,SG,Singapore,2003,3
1069,8558,5989,9320,UA,United Air Lines Inc.,13930,ORD,US,United States,14824,SIN,SG,Singapore,2003,10
1093,0,0,8440,UA,United Air Lines Inc.,14824,SIN,SG,Singapore,14771,SFO,US,United States,2003,1
1110,0,0,9357,NW,Northwest Airlines Inc.,14824,SIN,SG,Singapore,11433,DTW,US,United States,2003,7
1147,65886,0,9484,SQ,Singapore Airlines Ltd.,11618,EWR,US,United States,14824,SIN,SG,Singapore,2003,3
1154,0,0,9357,NW,Northwest Airlines Inc.,14824,SIN,SG,Singapore,11433,DTW,US,United States,2003,2
1171,15645,7561,9320,UA,United Air Lines Inc.,13930,ORD,US,United States,14824,SIN,SG,Singapore,2003,2
1179,0,0,9357,NW,Northwest Airlines Inc.,14824,SIN,SG,Singapore,11433,DTW,US,United States,2003,8
1181,2978,0,9357,NW,Northwest Airlines Inc.,11433,DTW,US,United States,14824,SIN,SG,Singapore,2003,9
1188,0,0,8758,UA,United Air Lines Inc.,14824,SIN,SG,Singapore,12892,LAX,US,United States,2003,6
1198,1651,7616,9320,UA,United Air Lines Inc.,13930,ORD,US,United States,14824,SIN,SG,Singapore,2003,9
1211,264403,0,9487,SQ,Singapore Airlines Ltd.,14824,SIN,SG,Singapore,12478,JFK,US,United States,2003,4
1218,0,0,8440,UA,United Air Lines Inc.,14824,SIN,SG,Singapore,14771,SFO,US,United States,2003,3
1219,56894,0,9484,SQ,Singapore Airlines Ltd.,11618,EWR,US,United States,14824,SIN,SG,Singapore,2003,2
1226,0,0,9357,NW,Northwest Airlines Inc.,14824,SIN,SG,Singapore,11433,DTW,US,United States,2003,3
1227,45577,0,9484,SQ,Singapore Airlines Ltd.,11618,EWR,US,United States,14824,SIN,SG,Singapore,2003,5
1230,36034,0,9320,SQ,Singapore Airlines Ltd.,13930,ORD,US,United States,14824,SIN,SG,Singapore,2003,1
1231,30037,0,9320,SQ,Singapore Airlines Ltd.,14824,SIN,SG,Singapore,13930,ORD,US,United States,2003,1
1239,0,0,8822,SQ,Singapore Airlines Ltd.,12889,LAS,US,United States,14824,SIN,SG,Singapore,2003,1
1268,0,1032,9320,UA,United Air Lines Inc.,14824,SIN,SG,Singapore,13930,ORD,US,United States,2003,3
1283,39970,0,9484,SQ,Singapore Airlines Ltd.,11618,EWR,US,United States,14824,SIN,SG,Singapore,2003,9
1311,0,219,9320,UA,United Air Lines Inc.,14824,SIN,SG,Singapore,13930,ORD,US,United States,2003,2
1322,20126,0,9484,SQ,Singapore Airlines Ltd.,11618,EWR,US,United States,14824,SIN,SG,Singapore,2003,11
1328,20128,0,9484,SQ,Singapore Airlines Ltd.,14824,SIN,SG,Singapore,11618,EWR,US,United States,2003,10
1359,0,0,9357,NW,Northwest Airlines Inc.,11433,DTW,US,United States,14824,SIN,SG,Singapore,2003,8
1397,0,0,8440,UA,United Air Lines Inc.,14824,SIN,SG,Singapore,14771,SFO,US,United States,2003,12
1403,19316,0,9484,SQ,Singapore Airlines Ltd.,14824,SIN,SG,Singapore,11618,EWR,US,United States,2003,5
1425,21456,9865,8440,UA,United Air Lines Inc.,14771,SFO,US,United States,14824,SIN,SG,Singapore,2003,2
1432,0,0,9320,UA,United Air Lines Inc.,14824,SIN,SG,Singapore,13930,ORD,US,United States,2003,9
1435,70065,13367,8440,UA,United Air Lines Inc.,14771,SFO,US,United States,14824,SIN,SG,Singapore,2003,3
1441,41565,0,9484,SQ,Singapore Airlines Ltd.,11618,EWR,US,United States,14824,SIN,SG,Singapore,2003,10
1458,22889,0,9484,SQ,Singapore Airlines Ltd.,14824,SIN,SG,Singapore,11618,EWR,US,United States,2003,11
